"timestamp","distance","accumulated_power","enhanced_speed","enhanced_altitude","power","vertical_oscillation","stance_time_percent","stance_time","vertical_ratio","stance_time_balance","step_length","heart_rate","cadence","activity_type","fractional_cadence","run_id","context","geometry"
2025-10-12 10:04:54,0,NA,0,205.8,0,6553.5,655.35,6553.5,655.35,655.35,6553.5,84,0,"running",0,"Ascona_Locarno_10k","race",c(2704885.93678618, 1114036.23320298)
2025-10-12 10:04:55,0.34,NA,0,206,0,6553.5,655.35,6553.5,655.35,655.35,6553.5,84,0,"running",0,"Ascona_Locarno_10k","race",c(2704885.27959358, 1114035.29922542)
2025-10-12 10:04:56,0.34,NA,0,206,0,6553.5,655.35,6553.5,655.35,655.35,6553.5,83,0,"running",0,"Ascona_Locarno_10k","race",c(2704885.43669154, 1114034.82666654)
2025-10-12 10:04:57,0.34,NA,0,206,0,6553.5,655.35,6553.5,655.35,655.35,6553.5,83,0,"running",0,"Ascona_Locarno_10k","race",c(2704885.62230299, 1114034.95102944)
2025-10-12 10:04:58,0.34,NA,0,206,0,6553.5,655.35,6553.5,655.35,655.35,6553.5,83,0,"running",0,"Ascona_Locarno_10k","race",c(2704885.64075334, 1114035.00726401)
2025-10-12 10:06:09,0.34,237,2.221,205.8,65535,94.3,655.35,333,10.19,655.35,925,77,72,"running",0.5,"Ascona_Locarno_10k","race",c(2704836.17885027, 1114024.65489157)
2025-10-12 10:06:10,2.71,508,2.529,205.8,271,101.3,655.35,320,9.75,655.35,1039,77,73,"running",0,"Ascona_Locarno_10k","race",c(2704834.45427223, 1114023.29240484)
2025-10-12 10:06:11,5.49,753,2.277,205.8,245,94.7,655.35,326,10.12,655.35,935,78,73,"running",0.5,"Ascona_Locarno_10k","race",c(2704831.7103264, 1114023.21696593)
2025-10-12 10:06:12,8.16,993,2.277,205.8,240,94.7,655.35,326,10.12,655.35,935,78,74,"running",0,"Ascona_Locarno_10k","race",c(2704828.59826655, 1114023.46133026)
2025-10-12 10:06:13,10.98,1266,2.575,205.8,273,100.8,655.35,314,9.66,655.35,1044,79,74,"running",0,"Ascona_Locarno_10k","race",c(2704825.77973576, 1114023.58030642)
2025-10-12 10:06:14,13.44,1532,2.603,205.8,266,101.6,655.35,313,9.63,655.35,1055,79,74,"running",0,"Ascona_Locarno_10k","race",c(2704823.47980307, 1114023.28889343)
2025-10-12 10:06:15,15.63,1805,2.575,205.8,273,100.8,655.35,314,9.66,655.35,1044,80,74,"running",0,"Ascona_Locarno_10k","race",c(2704821.51787693, 1114022.54668933)
2025-10-12 10:06:16,18.3,2068,2.501,205.8,263,99.3,655.35,315,9.8,655.35,1013,80,73,"running",0.5,"Ascona_Locarno_10k","race",c(2704818.77229367, 1114022.19165233)
2025-10-12 10:06:17,21.29,2322,2.501,205.8,254,100.5,655.35,321,9.77,655.35,1027,81,73,"running",0,"Ascona_Locarno_10k","race",c(2704815.81617311, 1114021.65590946)
2025-10-12 10:06:18,24.25,2587,2.594,205.8,265,102.7,655.35,319,9.63,655.35,1065,81,72,"running",0.5,"Ascona_Locarno_10k","race",c(2704812.80241684, 1114020.70912665)
2025-10-12 10:06:19,26.71,2893,2.855,206,306,109.2,655.35,312,9.31,655.35,1173,82,72,"running",0.5,"Ascona_Locarno_10k","race",c(2704810.55053151, 1114020.26012366)
2025-10-12 10:06:20,29.06,3203,2.855,206,310,109.2,655.35,312,9.31,655.35,1173,84,72,"running",0.5,"Ascona_Locarno_10k","race",c(2704808.27127866, 1114019.52175324)
2025-10-12 10:06:21,31.5,3487,2.687,206,284,105.3,655.35,316,9.53,655.35,1104,86,72,"running",0,"Ascona_Locarno_10k","race",c(2704806.04560578, 1114019.05456704)
2025-10-12 10:06:22,33.95,3747,2.547,206,260,102.8,655.35,326,9.69,655.35,1061,88,72,"running",0,"Ascona_Locarno_10k","race",c(2704803.60147189, 1114018.49041059)
2025-10-12 10:06:23,36.56,4005,2.519,206,258,102.4,655.35,326,9.75,655.35,1049,89,72,"running",0,"Ascona_Locarno_10k","race",c(2704800.81968067, 1114018.7311834)
